Time [s],Packet ID,MOSI,MISO
0.0016625,159,0x7C,0x7D
0.0016645,159,0x7D,0x7E
0.0016665,159,0x7E,0x7F
0.0016729,160,0x80,0x81
0.0016749,160,0x81,0x82
0.0016769,160,0x82,0x83
0.0016833,161,0x84,0x85
0.0016853,161,0x85,0x86
0.0016873,161,0x86,0x87
0.0016937,162,0x88,0x89
0.0016957,162,0x89,0x8A
0.0016977,162,0x8A,0x8B
0.0017041,163,0x8C,0x8D
0.0017061,163,0x8D,0x8E
0.0017081,163,0x8E,0x8F
0.0017145,164,0x90,0x91
0.0017165,164,0x91,0x92
0.0017185,164,0x92,0x93
0.0017249,165,0x94,0x95
0.0017269,165,0x95,0x96
0.0017289,165,0x96,0x97
0.0017353,166,0x98,0x99
0.0017373,166,0x99,0x9A
0.0017393,166,0x9A,0x9B
0.0017457,167,0x9C,0x9D
0.0017477,167,0x9D,0x9E
0.0017497,167,0x9E,0x9F
0.0017561,168,0xA0,0xA1
0.0017581,168,0xA1,0xA2
0.0017601,168,0xA2,0xA3
0.0017665,169,0xA4,0xA5
0.0017685,169,0xA5,0xA6
0.0017705,169,0xA6,0xA7
0.0017769,170,0xA8,0xA9
0.0017789,170,0xA9,0xAA
0.0017809,170,0xAA,0xAB
0.0017873,171,0xAC,0xAD
0.0017893,171,0xAD,0xAE
0.0017913,171,0xAE,0xAF
0.0017977,172,0xB0,0xB1
0.0017997,172,0xB1,0xB2
0.0018017,172,0xB2,0xB3
0.0018081,173,0xB4,0xB5
0.0018101,173,0xB5,0xB6
0.0018121,173,0xB6,0xB7
0.0018185,174,0xB8,0xB9
0.0018205,174,0xB9,0xBA
0.0018225,174,0xBA,0xBB
0.0018289,175,0xBC,0xBD
0.0018309,175,0xBD,0xBE
0.0018329,175,0xBE,0xBF
0.0018393,176,0xC0,0xC1
0.0018413,176,0xC1,0xC2
0.0018433,176,0xC2,0xC3
0.0018497,177,0xC4,0xC5
0.0018517,177,0xC5,0xC6
0.0018537,177,0xC6,0xC7
0.0018601,178,0xC8,0xC9
0.0018621,178,0xC9,0xCA
0.0018641,178,0xCA,0xCB
0.0018705,179,0xCC,0xCD
0.0018725,179,0xCD,0xCE
0.0018745,179,0xCE,0xCF
0.0018809,180,0xD0,0xD1
0.0018829,180,0xD1,0xD2
0.0018849,180,0xD2,0xD3
0.0018913,181,0xD4,0xD5
0.0018933,181,0xD5,0xD6
0.0018953,181,0xD6,0xD7
0.0019017,182,0xD8,0xD9
0.0019037,182,0xD9,0xDA
0.0019057,182,0xDA,0xDB
0.0019121,183,0xDC,0xDD
0.0019141,183,0xDD,0xDE
0.0019161,183,0xDE,0xDF
0.0019225,184,0xE0,0xE1
0.0019245,184,0xE1,0xE2
0.0019265,184,0xE2,0xE3
0.0019329,185,0xE4,0xE5
0.0019349,185,0xE5,0xE6
0.0019369,185,0xE6,0xE7
0.0019433,186,0xE8,0xE9
0.0019453,186,0xE9,0xEA
0.0019473,186,0xEA,0xEB
0.0019537,187,0xEC,0xED
0.0019557,187,0xED,0xEE
0.0019577,187,0xEE,0xEF
0.0019641,188,0xF0,0xF1
0.0019661,188,0xF1,0xF2
0.0019681,188,0xF2,0xF3
0.0019745,189,0xF4,0xF5
0.0019765,189,0xF5,0xF6
0.0019785,189,0xF6,0xF7
0.0019849,190,0xF8,0xF9
0.0019869,190,0xF9,0xFA
